Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
c51fcc0c-2ca2-7b18-a5a4-1b0111445b1b,2023-03-03,,999-78-5534,,,,Manuel446,Medina536,,,,white,hispanic,M,Marigot  Saint Andrew Parish  DM,829 Gleichner Mission,Watertown,Massachusetts,Middlesex County,25017,02472,42.359627628775904,-71.21475636863903,100.00,774.56,11564
21168d06-f015-df1e-24c0-39f93bc140dd,2022-12-10,,999-21-8451,,,,Vito638,Windler79,,,,white,hispanic,M,Mendon  Massachusetts  US,505 Abernathy Alley,Bridgewater,Massachusetts,Plymouth County,25023,02324,41.98513776458762,-71.01848913212143,100.00,1922.22,3105
53974561-310d-3a2d-4d5a-4d867945eabd,2022-06-13,,999-99-1362,,,,Denese626,Swaniawski813,,,,white,nonhispanic,F,Methuen  Massachusetts  US,719 Keeling Brook Apt 82,Scituate,Massachusetts,Plymouth County,25023,02066,42.15582675515298,-70.74656475043449,1674.00,2266.49,192601
f8960888-3ee1-42fb-4290-a9291b2fbbcc,2021-01-17,,999-17-5991,,,,Rodrick370,Emmerich580,,,,asian,nonhispanic,M,Hyderabad  Andhra Pradesh  IN,712 Dach Port Suite 91,Bellingham,Massachusetts,Norfolk County,25021,02019,42.02919927317068,-71.50138972137823,3408.00,5891.07,671273
3d7f3648-940c-7854-0776-440be87185d5,2022-03-06,,999-20-1368,,,,Marvin195,Bailey598,,,,white,nonhispanic,M,Lee  Massachusetts  US,139 Langworth Gateway,Springfield,Massachusetts,Hampden County,25013,01105,42.19015408706556,-72.4938211690038,455.58,10511.11,21463
d8e537fc-439e-3a67-dd1d-55767867a09b,2018-09-19,,999-76-2981,,,,Mickey576,Denesik803,,,,white,nonhispanic,M,Boston  Massachusetts  US,416 Hayes Light,Gloucester,Massachusetts,Essex County,25009,01930,42.62888331338224,-70.64262291834352,5336.46,4503.88,26647
844b98d8-16ee-58df-4083-d2d2e8bc4ebb,2018-05-18,,999-50-4196,,,,Daryl568,Cremin516,,,,white,nonhispanic,M,Chicopee  Massachusetts  US,666 Veum Esplanade Suite 20,North Reading,Massachusetts,Middlesex County,,00000,42.542799229961176,-71.0992414501081,6936.00,12993.61,101518
a28d59b9-199b-0cf2-51ad-9be0b2dbdf93,2018-10-12,,999-90-2466,,,,Ricarda574,Gerhold939,,,,white,nonhispanic,F,Raynham  Massachusetts  US,316 Hintz Throughway,Hingham,Massachusetts,Plymouth County,25023,02043,42.19928385555712,-70.84661701420183,6679.63,9951.67,81702
78042e25-df82-3742-82a8-090767cd7dce,2020-03-18,,999-64-9505,,,,Bryce11,Nicolas769,,,,asian,nonhispanic,M,Macau  Macao Special Administrative Region of the People's Republic of China  CN,844 Runolfsdottir Lock,Marlborough,Massachusetts,Middlesex County,25017,01752,42.35750195879833,-71.57625630459843,4310.66,2768.28,83159
d0fa8611-3af5-c777-3cb2-66c204107a29,2019-02-21,,999-76-6502,,,,Luann880,Lynch190,,,,white,nonhispanic,F,Carver  Massachusetts  US,492 Hudson Flat,Plympton,Massachusetts,Plymouth County,,00000,41.96258400393176,-70.8134092784048,6003.55,14182.96,87847
b3aab603-89d8-6c34-1fa8-5399e0dac4a4,2018-04-05,,999-83-5383,,,,Terrell212,Jerde200,,,,white,nonhispanic,M,Fairhaven  Massachusetts  US,706 Satterfield Row,Quincy,Massachusetts,Norfolk County,25021,02171,42.24760925950608,-71.07206938687266,5994.11,4171.04,26244
d5b9887c-20ce-542d-cb73-f487d64a5059,2022-09-18,,999-53-4067,,,,Homero668,Colunga237,,,,white,hispanic,M,San Juan  Puerto Rico  PR,783 DuBuque Approach Suite 11,Salem,Massachusetts,Essex County,25009,01907,42.50653150793781,-70.88225092692777,100.00,3707.62,25503
7522c5c1-e1ed-04be-554c-92bd0ae6ba60,2018-11-14,,999-85-3350,,,,Alise864,Graham902,,,,white,nonhispanic,F,Revere  Massachusetts  US,424 Dooley Ville,Gloucester,Massachusetts,Essex County,25009,01930,42.60387107378638,-70.67677460089585,6175.22,3080.35,65883
9a9cbaa2-f981-afea-d73f-cd4c192d02f2,2020-03-31,,999-56-8111,,,,Mark765,Rutherford999,,,,other,nonhispanic,F,Swampscott  Massachusetts  US,803 Beahan Bypass,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.46579145830046,-73.25489543655745,5050.31,5086.92,33061
64e85ad0-c26f-57cf-22f5-2c5a02e7ea0c,2021-04-18,,999-19-7703,,,,Annette105,Kovacek682,,,,white,nonhispanic,F,Woburn  Massachusetts  US,180 Baumbach Parade Unit 77,Cambridge,Massachusetts,Middlesex County,25017,02142,42.36322815858889,-71.09203077533148,3408.00,2427.66,191530
2ee093cb-7380-9131-bdf2-eff70e4b5630,2021-01-22,,999-12-5606,,,,Dallas143,Spinka232,,,,white,nonhispanic,M,Springfield  Massachusetts  US,356 Hahn Underpass,Leominster,Massachusetts,Worcester County,25027,01420,42.58021936217335,-71.79992760689274,3288.00,4542.72,86934
a818435c-d2ff-5eed-a7ef-8a7db4350c19,2019-07-27,,999-40-3243,,,,Thomas756,Stracke611,,,,white,nonhispanic,M,Melrose  Massachusetts  US,410 Mueller Glen Apt 14,Westford,Massachusetts,Middlesex County,,00000,42.57848515689509,-71.47394461114236,5188.80,20494.82,702808
7c7585c4-7902-9996-4fca-3f45db1c9136,2018-04-16,,999-74-2195,,,,Jospeh459,Eichmann909,,,,white,nonhispanic,M,Needham  Massachusetts  US,379 Legros Ville Suite 10,Framingham,Massachusetts,Middlesex County,25017,01701,42.277137075006884,-71.45967759082261,6884.10,3097.75,111930
b0098229-5e83-5233-c522-5e98822e146e,2019-07-09,,999-89-6110,,,,Anisha16,Stiedemann542,,,,asian,nonhispanic,F,Peabody  Massachusetts  US,633 Larkin Track,Lowell,Massachusetts,Middlesex County,25017,01850,42.61038626273462,-71.3144382703729,5133.41,2797.80,91733
b51602e4-1073-7f2d-2788-2a1c9b698010,2022-08-29,,999-26-3144,,,,Rene434,Howe413,,,,white,nonhispanic,M,Hanson  Massachusetts  US,283 Hansen Light Unit 82,Ashland,Massachusetts,Middlesex County,,00000,42.30651105892762,-71.4716110672915,1644.00,1389.45,76734
ea4681dc-b032-6628-3ded-56d8d07d7e84,2021-07-13,,999-46-4653,,,,Daren950,Kihn564,,,,white,nonhispanic,M,Millis-Clicquot  Massachusetts  US,663 Botsford Terrace Unit 88,Ipswich,Massachusetts,Essex County,25009,01938,42.724063089918076,-70.79408408544559,250.00,7093.30,9316
108f1d8f-bd72-cb9b-e9e6-c9531a907c21,2022-08-26,,999-24-4729,,,,Wilford267,Leffler128,,,,white,nonhispanic,M,Franklin  Massachusetts  US,850 Jast Spur Suite 97,Salisbury,Massachusetts,Essex County,25009,01952,42.86481848369101,-70.82906614795807,3958.75,0.00,35199
c98cce2d-dd0a-95c8-2d59-1959471c8cab,2021-10-08,,999-12-9883,,,,Adrian111,Hand679,,,,white,nonhispanic,M,Marlborough  Massachusetts  US,766 Wilkinson Well,Sandwich,Massachusetts,Barnstable County,25001,02563,41.75626328516974,-70.49166300717783,3408.00,2998.85,90400
6548586a-f9a0-81d1-4070-209daa2ce6a3,2022-04-11,,999-52-4119,,,,Elda564,Schaefer657,,,,other,nonhispanic,F,Maynard  Massachusetts  US,963 Bosco Union Suite 72,Chatham,Massachusetts,Barnstable County,25001,02633,41.67038830584019,-70.0273876635711,1644.00,2607.87,69403
81e9ada3-37ce-d2d1-fca6-7bc77b22610c,2019-11-11,,999-19-9727,,,,Janelle257,Zulauf375,,,,white,nonhispanic,F,Boston  Massachusetts  US,790 Bogisich Promenade,Somerset,Massachusetts,Bristol County,25005,02726,41.80930950863165,-71.12812169563136,4332.00,4713.35,90640
385e03b6-ff43-5daf-ce95-35176ce250a3,2020-02-18,,999-79-7244,,,,Tiffani287,Johns824,,,,white,nonhispanic,F,Springfield  Massachusetts  US,514 Quigley Flat,Bridgewater,Massachusetts,Plymouth County,25023,02324,41.950382355612675,-70.96814044094722,4998.93,8841.65,153671
69e6d81e-a9dd-bb59-dd22-a503208d6b26,2019-03-07,,999-24-3832,,,,Ciera654,Daugherty69,,,,other,nonhispanic,F,Tewksbury  Massachusetts  US,101 Lebsack Fork,Brockton,Massachusetts,Plymouth County,25023,02301,42.046668263996146,-71.02588486844375,5599.20,8434.86,37989
a5fbe3b3-08f7-df63-9287-78ff5599eab5,2018-10-19,,999-68-4881,,,,Claude750,Balistreri607,,,,white,nonhispanic,M,Boston  Massachusetts  US,339 Cummerata Glen,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.40000670754074,-73.31375071594867,5574.03,7752.09,48192
8470de4b-6228-e1d9-aa77-5c0ad59caf6d,2018-08-07,2021-08-18,999-55-6799,,,,Elden718,Turcotte120,,,,white,nonhispanic,M,Quincy  Massachusetts  US,1018 Tillman Pathway Unit 12,Hadley,Massachusetts,Hampshire County,,00000,42.3999870511809,-72.60903231165642,2358.26,36483.48,128990
f35715c8-d5ae-2bd3-bf20-48133893f020,2021-08-04,,999-81-1486,,,,Quintin944,Windler79,,,,white,nonhispanic,M,Brewster  Massachusetts  US,968 Kovacek Haven Unit 41,Hingham,Massachusetts,Plymouth County,25023,02043,42.202382057035685,-70.87501933895498,3438.00,3901.17,151646
a20e5dd0-99c9-937c-b5a4-8cc200a22429,2022-10-24,,999-36-7432,,,,Nakisha629,Gottlieb798,,,,white,nonhispanic,F,Stoneham  Massachusetts  US,707 Sawayn Boulevard,Ashland,Massachusetts,Middlesex County,,00000,42.30603229760151,-71.4456990702095,1644.00,1816.13,598022
997caab6-4cef-029b-f644-c3f0536f540f,2021-06-09,,999-77-9107,,,,Bennett146,Collins926,,,,black,hispanic,M,Chelmsford  Massachusetts  US,495 Strosin Ramp Suite 30,New Bedford,Massachusetts,Bristol County,25005,02748,41.65269683979281,-70.91911054785302,650.00,12353.52,15672
df116c82-ab17-6eda-1080-97299e34c7e7,2018-12-05,,999-71-1225,,,,Laine739,Bashirian201,,,,white,nonhispanic,F,Holyoke  Massachusetts  US,230 Spinka Club,Webster,Massachusetts,Worcester County,25027,01570,42.043341177143006,-71.81379597725746,7115.92,6610.91,147134
c6fb5729-8e66-8f05-26da-c07594fcf25f,2021-11-20,,999-46-1404,,,,Mauro926,Lehner980,,,,white,nonhispanic,M,Somerville  Massachusetts  US,998 Zboncak Bridge,Sharon,Massachusetts,Norfolk County,25021,02067,42.12044759110616,-71.16556595426486,200.00,5630.35,4640
